ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
44224,32608,23,0.000705,1157943
18037,6075,987,0.162469,460632
18017,33147,4117,0.124204,695236
85396,34794,21,0.000604,1159053
34104,21695,52,0.002397,1143937
32907,41217,38,0.000922,1155175
48356,7784,242,0.031089,1079499
17517,11916,806,0.067640,952612
18938,14453,452,0.031274,1078693
48114,20100,3705,0.184328,295723
18049,16123,2995,0.185759,289042
48049,5311,239,0.045001,1035870
15068,30950,4522,0.146107,572553
48808,5227,450,0.086091,872688
48329,23327,4714,0.202083,201002
18074,4492,79,0.017587,1118113
18077,2195,30,0.013667,1125810
19055,11113,699,0.062899,970462
18444,11608,297,0.025586,1098321
18517,4371,543,0.124228,691119
17550,708,106,0.149718,542754
32708,41859,23,0.000549,1159722
32258,31901,38,0.001191,1151843
33881,35050,72,0.002054,1146025
37043,47374,27,0.000570,1159554
53158,16462,893,0.054246,1006118
33880,32271,27,0.000837,1156316
34609,42389,56,0.001321,1150647
17202,25501,21,0.000823,1156514
28451,45935,31,0.000675,1158263
53593,26595,34,0.001278,1151082
34606,27025,57,0.002109,1145672
17325,24676,396,0.016048,1122372
48801,10145,73,0.007196,1133970
85212,42576,34,0.000799,1156859
44012,22655,23,0.001015,1154113
28546,39002,45,0.001154,1152243
32129,20417,40,0.001959,1146647
34655,43640,79,0.001810,1147455
17019,15760,25,0.001586,1148826
43015,50505,36,0.000713,1157848
48382,21373,4703,0.220044,103566
54311,30110,1455,0.048323,1025510
53188,29605,1615,0.054552,1004555
53046,1831,268,0.146368,568031
54016,29073,72,0.002477,1143408
53097,5651,267,0.047248,1029077
16102,4292,89,0.020736,1110542
33805,20929,28,0.001338,1150430
16105,13538,740,0.054661,1002940
18109,12493,271,0.021692,1107857
19301,6287,871,0.138540,620209
17347,5089,992,0.194930,225753
18706,12586,1001,0.079533,904212
17821,15277,141,0.009230,1131792
17516,3661,418,0.114176,733654
19560,6674,882,0.132155,660785
15003,9184,1095,0.119229,718984
15086,501,138,0.275449,8229
43623,17484,78,0.004461,1137497
21078,18661,24,0.001286,1151008
15057,13919,1234,0.088656,856721
19460,36544,4947,0.135371,644434
15140,2348,164,0.069847,938495
17970,2495,258,0.103407,781839
18085,651,126,0.193548,234220
16617,2079,253,0.121693,715979
48229,8361,107,0.012798,1127555
15063,9206,372,0.040408,1047874
15081,332,60,0.180723,335043
18046,103,24,0.233010,52459
32257,32937,21,0.000638,1158732
54494,22842,323,0.014141,1125093
43054,22651,22,0.000971,1154616
85374,36675,68,0.001854,1147266
19312,10796,1629,0.150889,535593
17402,28464,6023,0.211601,168617
