ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
17110,23463,3418,0.145676,448019
29910,45707,31,0.000678,1094852
15120,15726,2032,0.129213,532999
17579,5015,225,0.044865,1021359
18073,8740,709,0.081121,871348
17815,21494,2464,0.114637,643474
15139,6111,554,0.090656,816647
18936,239,21,0.087866,833637
15228,15493,2102,0.135674,508670
17519,4169,112,0.026865,1067203
15636,3283,163,0.049650,1007434
15936,1196,32,0.026756,1067503
18053,1917,86,0.044862,1021569
19311,6588,682,0.103522,720528
15637,1461,79,0.054073,990717
15692,783,33,0.042146,1029175
17062,3149,83,0.026358,1067841
17845,1819,31,0.017042,1076467
16041,1568,32,0.020408,1074463
17855,814,38,0.046683,1016537
15031,406,49,0.120690,606855
18344,2784,217,0.077945,891246
16046,16106,1014,0.062958,962684
08055,27990,39,0.001393,1088242
17104,12717,1951,0.153417,425685
19130,25919,7740,0.298623,83715
16121,3431,337,0.098222,761785
15690,6525,369,0.056552,983870
17501,3667,228,0.062176,967629
19343,7211,694,0.096242,778363
15442,1715,57,0.033236,1054645
17237,1261,53,0.042030,1030332
27703,52351,49,0.000936,1092381
60611,28873,40,0.001385,1088431
11215,54053,73,0.001351,1088749
04101,19179,23,0.001199,1090031
15142,1864,123,0.065987,945499
60613,42399,53,0.001250,1089654
10010,23370,43,0.001840,1086065
02128,26152,24,0.000918,1092502
04005,20606,22,0.001068,1091329
15823,1179,38,0.032231,1056476
23320,49432,22,0.000445,1096797
10009,46351,51,0.001100,1090994
10031,41029,23,0.000561,1096055
19966,36912,70,0.001896,1085729
07003,42302,25,0.000591,1095776
08002,21118,117,0.005540,1079108
16801,29523,8525,0.288758,94873
19020,43799,4706,0.107445,694491
15864,1499,38,0.025350,1069817
17036,20380,2187,0.107311,697871
15642,40168,2306,0.057409,981920
19044,13179,1544,0.117156,635188
15108,34782,3665,0.105371,713133
16505,14503,1307,0.090119,820854
19025,6290,763,0.121304,598926
18015,25749,6178,0.239932,150570
18069,6660,502,0.075375,900690
15224,9164,2559,0.279245,119121
17842,6424,113,0.017590,1076299
15666,12911,564,0.043684,1026076
17345,6186,350,0.056579,983501
18036,12628,1023,0.081010,872560
19720,52125,171,0.003281,1081454
16877,1473,70,0.047522,1014641
17339,5986,298,0.049783,1007195
18051,3346,276,0.082487,861665
16423,3202,211,0.065896,945710
19101,239,22,0.092050,807394
18955,1133,81,0.071492,919298
18519,4303,431,0.100163,752461
17309,1615,24,0.014861,1076961
17983,1187,35,0.029486,1062736
18064,22431,1634,0.072846,911003
17536,1773,45,0.025381,1069779
15834,3385,96,0.028360,1065144
17721,870,27,0.031034,1059171
17864,1306,25,0.019142,1075436
15829,951,23,0.024185,1071357
18701,1634,78,0.047736,1014394
29926,26090,21,0.000805,1093555
92037,33513,23,0.000686,1094798
11233,50221,32,0.000637,1095220
08057,20531,45,0.002192,1084605
98109,26208,36,0.001374,1088488
10019,35488,71,0.002001,1085206
78745,47444,27,0.000569,1095975
22102,23143,30,0.001296,1089400
20011,51736,43,0.000831,1093319
30308,21193,28,0.001321,1089027
19971,17878,27,0.001510,1087730
11102,25135,27,0.001074,1091307
32714,30174,21,0.000696,1094617
07304,32532,30,0.000922,1092411
18970,506,30,0.059289,974472
15205,19029,2752,0.144621,459728
19382,43350,5954,0.137347,496717
19013,25730,4922,0.191294,285376
19107,14180,4481,0.316008,74141
17522,24422,1531,0.062689,964943
15963,8979,431,0.048001,1013619
19601,19563,2571,0.131422,519608
16146,9754,963,0.098729,755355
17320,7255,241,0.033218,1054954
17013,28723,3900,0.135780,506568
15084,7738,538,0.069527,931636
15238,12648,1427,0.112824,663357
17356,19163,1255,0.065491,951936
15501,12556,382,0.030424,1061619
17814,3697,103,0.027860,1065717
15289,1742,1146,0.657865,5103
16045,864,47,0.054398,989973
18458,3084,128,0.041505,1033921
19034,5748,682,0.118650,615123
18472,3692,162,0.043879,1024151
19033,6633,571,0.086085,841113
15767,10680,287,0.026873,1067091
16930,1000,24,0.024000,1071429
15849,1013,33,0.032577,1055478
16641,1983,81,0.040847,1036070
17043,5035,561,0.111420,677328
16116,2217,96,0.043302,1026475
80211,36004,47,0.001305,1089240
10016,37503,50,0.001333,1088939
02155,47188,37,0.000784,1093824
19129,9352,2063,0.220595,213171
15219,11481,2841,0.247452,138082
18014,10551,565,0.053549,996164
18011,4661,386,0.082815,860225
15423,1527,76,0.049771,1007271
17344,2663,130,0.048817,1012306
17084,3250,98,0.030154,1061896
15034,1375,127,0.092364,803809
16255,1332,35,0.026276,1067961
02446,21527,37,0.001719,1086793
21043,38763,34,0.000877,1092862
20009,41798,103,0.002464,1083752
94123,19127,21,0.001098,1091015
28202,14664,24,0.001637,1087109
78702,23119,27,0.001168,1090316
08054,42516,114,0.002681,1083123
05401,22835,36,0.001577,1087231
26508,29148,52,0.001784,1086321
19804,15739,53,0.003367,1081108
80401,36544,28,0.000766,1093927
15552,4606,118,0.025619,1069577
94107,22611,28,0.001238,1089747
10022,27816,40,0.001438,1088156
15955,1599,64,0.040025,1038117
22304,36202,35,0.000967,1092064
22191,48647,28,0.000576,1095920
21061,41971,37,0.000882,1092781
10030,20753,22,0.001060,1091376
02141,10381,30,0.002890,1082311
21204,15636,21,0.001343,1088865
08071,8384,29,0.003459,1080839
15085,6904,340,0.049247,1009191
19132,30675,6331,0.206390,233158
19120,42227,8680,0.205556,246943
17551,7492,1143,0.152563,426828
16673,4214,121,0.028714,1064299
15146,24202,2872,0.118668,611589
17257,20493,1532,0.074757,904809
15133,5033,345,0.068548,933651
19053,22845,1872,0.081944,868484
16365,14468,709,0.049005,1011697
15210,20076,3416,0.170153,350653
10027,43879,21,0.000479,1096680
17050,35223,2751,0.078102,891029
16406,2478,55,0.022195,1072715
17349,7791,384,0.049288,1008851
15928,1773,63,0.035533,1050554
15110,4087,645,0.157817,410180
15370,8702,80,0.009193,1077974
19465,14638,1420,0.097008,772517
15143,19344,1764,0.091191,814938
15944,2441,79,0.032364,1056004
17044,15795,576,0.036467,1048691
18088,7528,388,0.051541,1000569
16914,1767,34,0.019242,1075381
23451,39150,28,0.000715,1094551
18347,2902,122,0.042040,1030279
16052,2036,58,0.028487,1064778
17938,2107,51,0.024205,1071052
15563,2517,56,0.022249,1072564
15851,5084,163,0.032061,1056703
16637,1888,52,0.027542,1066070
15554,2028,38,0.018738,1075704
18218,1722,71,0.041231,1035253
34787,78634,33,0.000420,1096976
19103,23715,6650,0.280413,116562
18915,1443,136,0.094248,786199
18840,8478,450,0.053079,998192
17502,2095,82,0.039141,1041199
18032,7424,780,0.105065,713913
15129,9659,847,0.087690,834484
15043,1739,57,0.032777,1055271
19330,4624,287,0.062067,967992
17747,1972,34,0.017241,1076382
18629,1303,27,0.020721,1074056
27410,48021,25,0.000521,1096378
28269,66192,50,0.000755,1094106
29588,46179,34,0.000736,1094284
18913,370,47,0.127027,547173
10029,55746,41,0.000735,1094347
15683,6582,268,0.040717,1036338
44106,21598,27,0.001250,1089654
78704,40368,40,0.000991,1091846
94109,38130,28,0.000734,1094375
21804,30272,24,0.000793,1093672
92104,33094,30,0.000907,1092569
19977,24437,78,0.003192,1081557
08065,6634,35,0.005276,1079329
19151,24795,5105,0.205888,238263
15229,12188,1349,0.110683,682402
15208,9142,1818,0.198862,258691
19119,24068,4024,0.167193,371692
19054,14091,1567,0.111206,678895
18071,8488,513,0.060438,970275
15668,12175,791,0.064969,955516
15222,5983,1834,0.306535,75975
17034,2109,262,0.124229,569353
15220,13630,1758,0.128980,534757
19027,16816,2780,0.165319,376876
19352,9682,2542,0.262549,126920
