ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
10016,37522,365,0.009728,162504
60302,28783,280,0.009728,162504
20639,14432,140,0.009701,162644
10128,48654,471,0.009681,163115
12186,6026,58,0.009625,163173
10010,23378,225,0.009624,163398
10019,35503,341,0.009605,163739
19003,12200,117,0.009590,163856
94303,28526,273,0.009570,164129
66610,9105,87,0.009555,164216
02109,3247,31,0.009547,164247
17110,23481,224,0.009540,164471
92657,8917,85,0.009532,164556
32301,24171,230,0.009516,164786
20707,28396,270,0.009508,165056
57501,12546,119,0.009485,165175
80121,17189,163,0.009483,165338
22192,45721,433,0.009470,165771
94117,29965,283,0.009444,166054
62670,2648,25,0.009441,166079
20732,9245,87,0.009410,166382
10036,22954,216,0.009410,166382
91436,12866,121,0.009405,166503
10012,16482,155,0.009404,166658
02492,18437,173,0.009383,166831
55120,4167,39,0.009359,166870
12061,8018,75,0.009354,166945
62629,12515,117,0.009349,167062
02111,5784,54,0.009336,167116
20176,39324,367,0.009333,167483
20714,3967,37,0.009327,167520
20112,24696,229,0.009273,167749
78757,19781,182,0.009201,167931
01778,12617,116,0.009194,168047
20181,8816,81,0.009188,168128
17050,35266,323,0.009159,168451
60614,53582,490,0.009145,168941
55105,22482,205,0.009118,169146
20147,53697,489,0.009107,169635
10025,73031,664,0.009092,170299
21204,15638,142,0.009080,170441
38120,12894,117,0.009074,170558
06870,6298,57,0.009050,170615
20871,22326,201,0.009003,170816
20175,27608,248,0.008983,171064
10583,33323,299,0.008973,171363
10706,7926,71,0.008958,171434
20736,8487,76,0.008955,171510
04347,2573,23,0.008939,171533
20169,25086,224,0.008929,171757
20877,23010,205,0.008909,172078
25314,13020,116,0.008909,172078
90212,9098,81,0.008903,172159
43221,28904,257,0.008892,172416
20148,44876,399,0.008891,172815
21212,27337,243,0.008889,173058
21619,7321,65,0.008879,173123
11215,54066,480,0.008878,173603
39216,3049,27,0.008855,173630
85718,27452,243,0.008852,173873
10001,22030,194,0.008806,174067
20874,47692,419,0.008786,174486
78733,7855,69,0.008784,174555
19348,19475,171,0.008780,174726
91604,24585,215,0.008745,174941
94105,8267,72,0.008709,175013
12204,5981,52,0.008694,175065
21211,15314,133,0.008685,175198
